"Daily Weather Observations for Wollongong, New South Wales for February 2017"
"Prepared at 13:01 GMT on Sunday  6 August 2017   IDCJDW2146.201702"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bellambi, which is about 7 km north of the Wollongong city centre."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.  Albion Park is about 25 km southwest of Bellambi (and 18 km from Wollongong), and the pressure there will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Bellambi AWS {station 068228}"
"Pressure observations are from Albion Park (Wollongong Airport) {station 068241}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-02-1,19.3,23.4,0.6,,,,,,20.0,90,,SW,9,1016.6,20.8,87,8,SSE,9,1013.1
,2017-02-2,19.7,24.4,1.0,,,SSW,52,08:22,21.6,76,8,SSW,33,1014.2,22.8,65,,SSE,19,1014.2
,2017-02-3,21.0,26.3,0,,,NE,31,16:58,22.5,76,,N,9,1015.8,24.4,77,8,NE,19,1012.9
,2017-02-4,21.4,32.1,0,,,NNE,22,15:10,24.4,82,1,ESE,7,1014.0,25.1,85,8,N,9,1010.3
,2017-02-5,23.8,30.9,0,,,NW,43,02:16,30.9,49,7,E,11,1009.0,29.8,59,6,NNE,20,1007.6
,2017-02-6,23.6,28.3,0,,,SSW,57,17:58,25.8,75,,SSW,13,1011.6,27.6,73,,S,11,1010.6
,2017-02-7,20.3,24.4,5.4,,,S,50,17:12,20.4,93,7,SSW,35,1019.3,22.2,87,8,SSW,17,1019.4
,2017-02-8,19.9,24.2,29.4,,,ESE,48,02:10,22.6,89,8,ESE,31,1023.3,23.8,85,8,E,24,1022.8
,2017-02-9,21.8,29.6,5.6,,,NE,50,13:54,24.2,78,2,N,20,1018.0,25.8,76,,NE,41,1011.3
,2017-02-10,23.2,29.7,0,,,S,50,17:06,28.7,59,,NNE,7,1009.3,27.5,69,,NNE,13,1005.7
,2017-02-11,22.6,30.0,0,,,SSW,67,21:48,28.1,65,4,WNW,22,1006.6,27.7,72,1,NNE,7,1001.7
,2017-02-12,22.4,24.7,0.4,,,SSW,72,14:52,22.8,88,8,SSW,24,1001.1,21.3,93,8,SSW,48,1001.0
,2017-02-13,16.8,24.3,5.0,,,WSW,35,04:05,20.6,40,,SW,9,1008.2,23.2,55,,SSE,13,1007.8
,2017-02-14,18.5,21.0,11.6,,,S,43,07:48,18.8,88,8,SSW,35,1015.4,20.0,76,8,SSE,31,1016.7
,2017-02-15,17.7,25.2,0.2,,,NE,43,15:41,20.5,61,7, ,Calm,1017.2,24.6,63,,NE,24,1012.9
,2017-02-16,20.0,26.5,0,,,NE,39,16:14,24.5,73,,ENE,7,1011.3,25.7,73,,N,15,1008.9
,2017-02-17,20.9,27.0,0,,,N,89,13:45,23.4,84,7,NE,20,1009.2,24.2,69,8,NNW,35,1006.8
,2017-02-18,21.0,24.1,4.0,,,NNW,56,23:21,21.8,86,8,SSE,19,1006.9,22.1,79,6,S,22,1004.7
,2017-02-19,16.8,23.7,14.0,,,SSW,52,01:36,18.9,74,6,SW,22,1009.3,22.7,60,,E,7,1006.3
,2017-02-20,15.9,27.4,0.2,,,WSW,44,08:13,18.5,34,,SW,20,1010.5,26.1,17,,W,19,1009.7
,2017-02-21,15.7,25.1,0,,,WNW,28,23:25,21.6,53,2, ,Calm,1019.8,24.4,55,2,E,9,1018.9
,2017-02-22,21.1,25.7,0,,,NE,48,13:13,23.8,60,,N,24,1021.4,24.4,69,,NE,37,1017.7
,2017-02-23,19.9,24.3,0,,,NE,44,16:37,22.1,75,,NE,11,1019.0,24.1,71,,NNE,22,1016.8
,2017-02-24,19.3,23.9,0,,,SW,35,22:59,21.8,81,,SSW,13,1021.1,22.9,75,,S,17,1018.4
,2017-02-25,17.6,21.1,9.4,,,SSW,52,04:50,18.1,82,8,SSW,35,1021.9,19.6,73,8,S,31,1020.9
,2017-02-26,17.5,22.8,24.4,,,SE,54,23:59,20.3,73,8,SW,22,1022.9,22.4,59,1,S,28,1022.8
,2017-02-27,17.2,24.0,3.8,,,SSE,43,16:42,22.6,73,8,ESE,20,1024.8,23.7,61,,S,26,1023.7
,2017-02-28,18.8,25.8,16.2,,,SSW,33,04:48,21.4,91,8,SW,15,1023.6,25.2,72,,ENE,19,1022.2